Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q2.1,Q2.2,Q3.1,Q3.2,Q3.3,Q4.2_1,Q4.2_2,Q4.2_3,Q13_1,Q13_2,Q13_3,Q13_4
Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Where do you live on campus?,Which class year are you in?,"On average, how many servings of the main entree do you take each time you get LUNCH at the dining hall? Note: A serving is one “box” of food.","On average, how many servings of the main entree do you take each time you get DINNER at the dining hall? Note: A serving is one “box” of food.","How many additional containers (from sides, salads, soup, etc.) do you take on average each time you visit the dining hall?",Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Sustainability,Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Convenience,"Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Safety (COVID, etc.)","Description: Under a potential reusable container program, HUDS will provide each student a clean re - I would be willing to switch to the reusable container system outlined above.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - Switching to reusable containers would be environmentally beneficial.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - A reusable container program would be difficult for students to maintain and comply with.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - I would feel safe about eating from reusable containers that are washed and disinfected by HUDS."
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}"
100,49,TRUE,11/5/20 18:31,email,EN,Leverett House,2023,2,2,2,2,1,3,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
100,70,TRUE,11/5/20 18:32,email,EN,The Yard (freshman housing),2024,1,1,1,2,1,3,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
100,109,TRUE,11/5/20 18:32,email,EN,Leverett House,2024,1,1,3,2,3,1,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree
100,112,TRUE,11/5/20 18:33,email,EN,Pforzheimer House,2024,2,2,1,2,3,1,Strongly Disagree,Agree,Agree,Strongly Disagree
100,80,TRUE,11/5/20 18:33,email,EN,Leverett House,2024,0,1,1,2,1,3,Strongly agree,Strongly agree,Neither agree nor disagree,Agree
100,158,TRUE,11/5/20 18:33,email,EN,The Yard (freshman housing),2024,0,2,1,2,3,1,Strongly Disagree,Somewhat agree,Agree,Strongly Disagree
100,66,TRUE,11/5/20 18:34,email,EN,The Yard (freshman housing),2024,2,2,4+,2,1,3,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree
100,104,TRUE,11/5/20 18:34,email,EN,The Yard (freshman housing),2024,2,1,1,3,1,2,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Disagree
100,145,TRUE,11/5/20 18:34,email,EN,Cabot House,2024,1,1,3,3,2,1,Strongly agree,Strongly agree,Disagree,Strongly agree
100,192,TRUE,11/5/20 18:35,email,EN,Kirkland House,2023,2,2,2,3,2,1,Strongly Disagree,Agree,Agree,Disagree
100,59,TRUE,11/5/20 18:35,email,EN,The Yard (freshman housing),2024,1,1,4+,2,3,1,Strongly agree,Agree,Somewhat disagree,Strongly agree
100,167,TRUE,11/5/20 18:36,email,EN,Kirkland House,2023,1,1,0,3,1,2,Strongly Disagree,Somewhat agree,Strongly agree,Disagree
100,115,TRUE,11/5/20 18:36,email,EN,The Yard (freshman housing),2024,1,1,0,2,3,1,Agree,Strongly agree,Neither agree nor disagree,Agree
100,70,TRUE,11/5/20 18:37,email,EN,Mather House,2022,1,1,2,2,3,1,Somewhat disagree,Strongly agree,Agree,Strongly agree
100,121,TRUE,11/5/20 18:38,email,EN,Eliot House,2024,1,1,2,1,3,2,Strongly agree,Strongly agree,Disagree,Agree
100,83,TRUE,11/5/20 18:39,email,EN,The Yard (freshman housing),2024,1,1,1,3,2,1,Strongly agree,Strongly agree,Somewhat disagree,Agree
100,124,TRUE,11/5/20 18:39,anonymous,EN,The Yard (freshman housing),2024,1,1,3,3,2,1,Neither agree nor disagree,Strongly agree,Agree,Somewhat agree
100,62,TRUE,11/5/20 18:39,email,EN,Quincy House,2023,1,1,1,3,1,2,Strongly agree,Strongly agree,Disagree,Strongly agree
100,56,TRUE,11/5/20 18:41,email,EN,Winthrop House,2024,1,1,1,2,3,1,Neither agree nor disagree,Agree,Agree,Somewhat agree
100,89,TRUE,11/5/20 18:43,email,EN,Winthrop House,2024,1,1,3,3,1,2,Disagree,Agree,Strongly agree,Somewhat agree
100,115,TRUE,11/5/20 18:43,email,EN,Adams House,2023,1,1,1,2,1,3,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,61,TRUE,11/5/20 18:44,email,EN,Leverett House,2021,1,1,1,3,2,1,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree
100,82,TRUE,11/5/20 18:44,email,EN,Leverett House,2024,1,1,2,,,,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,460,TRUE,11/5/20 18:45,anonymous,EN,The Yard (freshman housing),2024,2,2,3,3,2,1,Agree,Strongly agree,Somewhat agree,Somewhat disagree
100,50,TRUE,11/5/20 18:46,email,EN,Quincy House,2021,1,1,1,2,3,1,Agree,Strongly agree,Neither agree nor disagree,Agree
100,70,TRUE,11/5/20 18:48,email,EN,Currier House,2024,1,1,0,2,3,1,Agree,Strongly agree,Somewhat agree,Agree
100,85,TRUE,11/5/20 18:55,email,EN,Eliot House,2024,1,2,1,2,3,1,Agree,Strongly agree,Agree,Neither agree nor disagree
100,70,TRUE,11/5/20 18:56,email,EN,The Yard (freshman housing),2024,1,1,0,1,3,2,Agree,Strongly agree,Somewhat agree,Agree
100,85,TRUE,11/5/20 19:02,email,EN,Mather House,2024,1,1,1,3,2,1,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
100,77,TRUE,11/5/20 19:04,email,EN,The Yard (freshman housing),2024,2,2,1,3,1,2,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree
100,208,TRUE,11/5/20 19:05,email,EN,Adams House,2023,1,2,2,2,1,3,Agree,Strongly agree,Disagree,Agree
100,67,TRUE,11/5/20 19:05,email,EN,Mather House,2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree
100,59,TRUE,11/5/20 19:05,email,EN,Dunster House,2021,1,1,0,2,1,3,Agree,Strongly agree,Disagree,Strongly agree
100,77,TRUE,11/5/20 19:06,email,EN,Lowell House,2024,0,2,3,1,3,2,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree
100,50,TRUE,11/5/20 19:07,email,EN,Leverett House,2024,1,1,1,,,,Agree,Strongly agree,Agree,Somewhat disagree
100,51,TRUE,11/5/20 19:08,email,EN,Kirkland House,2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Disagree,Strongly agree
100,91,TRUE,11/5/20 19:12,email,EN,Dunster House,2024,2,1,1,3,1,2,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
100,68,TRUE,11/5/20 19:14,email,EN,Quincy House,2024,2,2,2,3,2,1,Agree,Strongly agree,Strongly agree,Strongly agree
100,108,TRUE,11/5/20 19:19,email,EN,Winthrop House,2024,1,1,1,1,2,3,Strongly agree,Strongly agree,Disagree,Strongly agree
100,57,TRUE,11/5/20 19:19,email,EN,The Yard (freshman housing),2024,1,1,2,2,3,1,Strongly agree,Strongly agree,Somewhat agree,Agree
100,100,TRUE,11/5/20 19:25,email,EN,Lowell House,2024,2,2,2,2,3,1,Somewhat agree,Agree,Somewhat agree,Agree
100,44,TRUE,11/5/20 19:25,email,EN,Leverett House,2024,2,3,1,2,3,1,Agree,Strongly agree,Somewhat agree,Somewhat agree
100,48,TRUE,11/5/20 19:26,email,EN,The Yard (freshman housing),2024,1,0,0,3,1,2,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree
100,111,TRUE,11/5/20 19:26,email,EN,Winthrop House,2024,1,1,0,2,3,1,Agree,Agree,Somewhat disagree,Agree
100,59,TRUE,11/5/20 19:33,email,EN,Dunster House,2022,1,1,1,2,1,3,Somewhat agree,Strongly agree,Agree,Strongly agree
100,153,TRUE,11/5/20 19:54,email,EN,Winthrop House,2024,1,1,1,2,3,1,Somewhat agree,Strongly agree,Somewhat agree,Disagree
100,90,TRUE,11/5/20 19:54,email,EN,The Yard (freshman housing),2024,1,1,2,3,1,2,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
100,74,TRUE,11/5/20 20:00,email,EN,The Yard (freshman housing),2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,71,TRUE,11/5/20 20:02,email,EN,The Yard (freshman housing),2024,1,1,0,3,2,1,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree
100,157,TRUE,11/5/20 20:06,email,EN,Pforzheimer House,2024,1,1,2,3,1,2,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly Disagree
100,132,TRUE,11/5/20 20:10,email,EN,Eliot House,2024,1,1,2,2,3,1,Agree,Agree,Somewhat agree,Agree
100,51,TRUE,11/5/20 20:10,email,EN,Dunster House,2024,1,2,1,3,2,1,Agree,Strongly agree,Somewhat agree,Somewhat agree
100,59,TRUE,11/5/20 20:12,email,EN,The Yard (freshman housing),2024,1,0,0,1,2,3,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,169,TRUE,11/5/20 20:20,email,EN,The Yard (freshman housing),2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
100,393,TRUE,11/5/20 20:26,email,EN,Leverett House,2024,1,1,4+,,,,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree
100,157,TRUE,11/5/20 20:39,email,EN,Eliot House,2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Somewhat agree,Agree
100,62,TRUE,11/5/20 20:46,email,EN,Mather House,2024,1,2,2,1,3,2,Strongly agree,Strongly agree,Somewhat agree,Agree
100,350,TRUE,11/5/20 20:57,email,EN,The Yard (freshman housing),2024,1,1,3,2,3,1,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
100,50,TRUE,11/5/20 21:07,email,EN,The Yard (freshman housing),2024,1,1,2,1,3,2,Strongly agree,Strongly agree,Somewhat disagree,Agree
100,114,TRUE,11/5/20 21:35,email,EN,Winthrop House,2024,1,1,1,3,2,1,Somewhat agree,Agree,Neither agree nor disagree,Agree
100,257,TRUE,11/5/20 21:39,email,EN,Mather House,2023,1,1,1,1,3,2,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,69,TRUE,11/5/20 21:43,email,EN,The Yard (freshman housing),2024,1,1,1,1,3,2,Strongly agree,Strongly agree,Disagree,Strongly agree
100,91,TRUE,11/5/20 21:44,email,EN,The Yard (freshman housing),2024,1,1,1,3,1,2,Agree,Agree,Somewhat agree,Somewhat agree
100,1052,TRUE,11/5/20 21:48,email,EN,Quincy House,2024,1,1,1,,,,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,77,TRUE,11/5/20 22:09,email,EN,Mather House,2023,1,1,1,2,1,3,Somewhat agree,Strongly agree,Somewhat agree,Agree
100,117,TRUE,11/5/20 22:49,email,EN,The Yard (freshman housing),2024,1,1,0,2,1,3,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree
100,478,TRUE,11/5/20 23:45,email,EN,The Yard (freshman housing),2024,1,1,1,2,3,1,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree
100,69,TRUE,11/5/20 23:47,email,EN,Cabot House,2024,1,1,1,3,2,1,Disagree,Agree,Somewhat agree,Disagree
100,80,TRUE,11/6/20 0:25,email,EN,The Yard (freshman housing),2024,1,1,1,3,1,2,Disagree,Agree,Agree,Agree
100,129,TRUE,11/6/20 2:10,email,EN,The Yard (freshman housing),2024,2,2,2,2,3,1,Neither agree nor disagree,Agree,Agree,Somewhat disagree
100,65,TRUE,11/6/20 2:19,email,EN,Cabot House,2024,1,1,1,,,,Strongly agree,Strongly agree,Disagree,Strongly agree
100,56,TRUE,11/6/20 5:52,email,EN,Lowell House,2021,0,1,1,2,3,1,Somewhat agree,Agree,Strongly agree,Agree
100,166,TRUE,11/6/20 6:12,email,EN,The Yard (freshman housing),2024,1,1,1,3,2,1,Somewhat agree,Agree,Somewhat agree,Somewhat disagree
100,98,TRUE,11/6/20 6:29,email,EN,Cabot House,2024,1,1,3,2,1,3,Strongly agree,Agree,Somewhat agree,Strongly agree
100,73,TRUE,11/6/20 6:30,email,EN,The Yard (freshman housing),2024,1,1,2,1,3,2,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree
100,209,TRUE,11/6/20 7:12,email,EN,The Yard (freshman housing),2024,1,1,0,3,1,2,Somewhat disagree,Agree,Agree,Disagree
100,82,TRUE,11/6/20 7:25,email,EN,The Yard (freshman housing),2024,1,1,2,2,3,1,Agree,Strongly agree,Agree,Strongly agree
100,56,TRUE,11/6/20 8:53,email,EN,Leverett House,2021,1,1,2,3,2,1,Agree,Strongly agree,Agree,Agree
100,3091,TRUE,11/6/20 9:30,email,EN,Winthrop House,2024,1,1,3,3,1,2,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
100,101,TRUE,11/6/20 9:31,email,EN,The Yard (freshman housing),2024,1,1,0,2,3,1,Agree,Strongly agree,Somewhat agree,Somewhat agree
100,166,TRUE,11/6/20 11:05,email,EN,Eliot House,2024,1,1,1,1,3,2,Agree,Strongly agree,Strongly Disagree,Strongly agree
100,52,TRUE,11/6/20 11:10,email,EN,The Yard (freshman housing),2024,1,0,1,,,,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
100,75,TRUE,11/6/20 12:20,email,EN,Cabot House,2024,1,1,1,3,1,2,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
100,101,TRUE,11/6/20 12:50,email,EN,The Yard (freshman housing),2024,2,1,1,2,3,1,Somewhat agree,Strongly agree,Agree,Somewhat disagree
100,198,TRUE,11/6/20 13:36,email,EN,Cabot House,2024,1,1,2,2,3,1,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
100,90,TRUE,11/6/20 13:52,email,EN,Pforzheimer House,2024,2,1,2,2,3,1,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree
100,61,TRUE,11/6/20 16:43,email,EN,The Yard (freshman housing),2024,2,1,0,3,2,1,Agree,Strongly agree,Agree,Agree
100,77,TRUE,11/6/20 19:06,email,EN,The Yard (freshman housing),2024,1,1,3,3,1,2,Agree,Strongly agree,Disagree,Strongly agree
100,96,TRUE,11/6/20 20:34,email,EN,Kirkland House,2024,1,1,1,1,2,3,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree
100,104,TRUE,11/6/20 21:28,email,EN,Lowell House,2024,1,1,0,3,2,1,Strongly agree,Strongly agree,Disagree,Strongly agree
100,95,TRUE,11/6/20 23:33,email,EN,Cabot House,2024,1,2,1,2,1,3,Strongly agree,Strongly agree,Somewhat agree,Agree
100,90,TRUE,11/7/20 1:37,email,EN,The Yard (freshman housing),2024,1,1,1,3,2,1,Agree,Strongly agree,Disagree,Strongly agree
100,534,TRUE,11/7/20 5:46,email,EN,Pforzheimer House,2021,1,1,2,2,3,1,Somewhat agree,Agree,Agree,Agree
100,96,TRUE,11/7/20 14:52,email,EN,Currier House,2024,2,2,2,1,2,3,Agree,Agree,Somewhat disagree,Somewhat agree
100,101,TRUE,11/8/20 11:01,email,EN,Quincy House,2024,1,1,1,,,,Strongly agree,Strongly agree,Agree,Strongly agree
100,137,TRUE,11/8/20 15:15,email,EN,Leverett House,2024,1,1,2,3,2,1,Strongly agree,Strongly agree,Somewhat agree,Agree
100,2019,TRUE,11/8/20 16:40,email,EN,The Yard (freshman housing),2024,1,1,0,2,1,3,Agree,Strongly agree,Somewhat disagree,Agree
100,102,TRUE,11/8/20 21:10,email,EN,Mather House,2024,1,0,3,3,1,2,Somewhat disagree,Somewhat agree,Agree,Disagree
100,128,TRUE,11/8/20 21:29,email,EN,Currier House,2021,1,2,3,2,3,1,Somewhat agree,Strongly agree,Agree,Agree
100,113,TRUE,11/8/20 22:26,email,EN,The Yard (freshman housing),2024,0,1,1,3,1,2,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
100,60,TRUE,11/9/20 6:33,email,EN,The Yard (freshman housing),2024,1,1,1,2,3,1,Strongly agree,Strongly agree,Disagree,Somewhat agree
100,59,TRUE,11/9/20 6:58,email,EN,The Yard (freshman housing),2024,1,1,2,,,,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree
67,24,FALSE,11/12/20 18:31,email,EN,The Yard (freshman housing),2024,0,0,0,,,,,,,
67,20,FALSE,11/12/20 18:31,email,EN,Mather House,2024,1,1,1,,,,,,,
11,9,FALSE,11/12/20 18:31,email,EN,,,,,,,,,,,,
11,4,FALSE,11/12/20 18:32,email,EN,,,,,,,,,,,,
33,12,FALSE,11/12/20 18:35,email,EN,Leverett House,2023,,,,,,,,,,
33,63,FALSE,11/12/20 18:36,email,EN,Cabot House,2022,,,,,,,,,,
33,26,FALSE,11/12/20 18:38,email,EN,Quincy House,2021,,,,,,,,,,
33,18,FALSE,11/12/20 18:38,anonymous,EN,Pforzheimer House,2024,,,,,,,,,,
33,20,FALSE,11/12/20 18:41,email,EN,Dunster House,2024,,,,,,,,,,
33,25,FALSE,11/12/20 18:43,email,EN,Currier House,2021,,,,,,,,,,
11,8,FALSE,11/12/20 18:43,email,EN,,,,,,,,,,,,
33,13,FALSE,11/12/20 18:44,email,EN,Quincy House,2021,,,,,,,,,,
33,1102,FALSE,11/12/20 18:52,email,EN,Quincy House,2022,,,,,,,,,,
33,35,FALSE,11/12/20 19:03,email,EN,Adams House,2023,,,,,,,,,,
11,4,FALSE,11/12/20 19:05,email,EN,,,,,,,,,,,,
67,28,FALSE,11/12/20 19:40,email,EN,The Yard (freshman housing),2024,0,1,1,,,,,,,
33,37,FALSE,11/12/20 20:40,email,EN,Mather House,2023,,,,,,,,,,
33,15,FALSE,11/12/20 21:06,email,EN,Pforzheimer House,2023,,,,,,,,,,
67,26,FALSE,11/12/20 21:10,email,EN,Winthrop House,2024,1,1,1,,,,,,,
67,28,FALSE,11/12/20 21:16,email,EN,Pforzheimer House,2024,1,1,1,,,,,,,
33,10,FALSE,11/12/20 21:31,email,EN,Mather House,2023,,,,,,,,,,
67,62,FALSE,11/12/20 22:16,email,EN,Winthrop House,2024,1,1,1,,,,,,,
11,32,FALSE,11/13/20 4:39,email,EN,,,,,,,,,,,,
33,14,FALSE,11/13/20 8:20,email,EN,Leverett House,2023,,,,,,,,,,
33,14,FALSE,11/13/20 10:08,email,EN,Dunster House,2022,,,,,,,,,,
67,18567,FALSE,11/14/20 2:18,email,EN,The Yard (freshman housing),2024,1,1,1,,,,,,,
33,20,FALSE,11/14/20 14:34,email,EN,Dunster House,2023,,,,,,,,,,
33,37,FALSE,11/16/20 18:49,email,EN,Pforzheimer House,2022,,,,,,,,,,
11,5,FALSE,11/16/20 21:48,email,EN,,,,,,,,,,,,
67,433344,FALSE,11/18/20 20:13,email,EN,The Yard (freshman housing),2024,1,1,1,,,,,,,